,NATUREZA,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,TOTAL
0,INJURIA,716.0,696.0,535.0,182,425.0,641.0,745.0,771.0,696.0,657.0,690.0,,6.754
1,AMEAÇA,636.0,596.0,494.0,176,480.0,616.0,691.0,656.0,648.0,630.0,634.0,,6.257000000000001
2,LESAO CORPORAL,205.0,251.0,251.0,170,231.0,272.0,278.0,305.0,254.0,272.0,286.0,,2.775
3,PERT. A TRANQUILIDADE,199.0,204.0,164.0,36,136.0,250.0,288.0,287.0,326.0,283.0,224.0,,2.397
4,VIAS DE FATOS,230.0,242.0,177.0,83,195.0,194.0,244.0,251.0,224.0,240.0,232.0,,2.312
5,DANO,38.0,36.0,15.0,13,24.0,29.0,37.0,55.0,48.0,40.0,36.0,,371.0
6,VIOLAÇAO DE DOMINICILIO,25.0,18.0,11.0,6,13.0,19.0,19.0,33.0,35.0,33.0,28.0,,240.0
7,DIFAMAÇAO,24.0,30.0,31.0,5,8.0,19.0,15.0,30.0,34.0,11.0,27.0,,234.0
8,FURTO,16.0,15.0,7.0,5,7.0,9.0,13.0,19.0,13.0,12.0,16.0,,132.0
9,CALUNIA,5.0,5.0,6.0,3,6.0,8.0,9.0,17.0,10.0,9.0,9.0,,87.0
10,ROUBO,7.0,5.0,8.0,0,1.0,2.0,3.0,6.0,10.0,5.0,8.0,,55.0
11,IMPORTUNAÇÃO SEXUAL,5.0,5.0,5.0,0,2.0,5.0,6.0,6.0,6.0,3.0,8.0,,51.0
12,ESTUPRO,6.0,4.0,4.0,2,4.0,2.0,1.0,3.0,3.0,2.0,2.0,,33.0
13,SEQUESTRO E CARCERE PRIVADO,4.0,2.0,2.0,2,4.0,3.0,3.0,1.0,1.0,2.0,5.0,,29.0
14,MAUS TRATOS,3.0,2.0,1.0,1,4.0,5.0,2.0,2.0,4.0,2.0,2.0,,28.0
15,PERT. DO TRABALHO OU SOSSEGO ALHEIOS,3.0,1.0,2.0,0,3.0,6.0,4.0,0.0,1.0,0.0,3.0,,23.0
16,RETENÇÃO DE DOCUMENTOS,1.0,0.0,2.0,0,1.0,4.0,0.0,5.0,1.0,2.0,6.0,,22.0
17,APROPRIAÇÃO INDEBITA,4.0,1.0,2.0,1,0.0,3.0,1.0,3.0,0.0,1.0,3.0,,19.0
18,ESTUPRO DE VULNERAVEL,0.0,0.0,1.0,3,3.0,3.0,2.0,0.0,2.0,3.0,0.0,,17.0
19,CONSTRANGIMENTO ILEGAL,4.0,3.0,2.0,1,0.0,2.0,1.0,2.0,1.0,1.0,0.0,,17.0
20,ABANDONO DE INCAPAZ,0.0,3.0,0.0,0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,,10.0
21,REGISTRO NÃO AUTORIZADO DE INTIMIDADE SEXUAL,0.0,1.0,2.0,0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,,8.0
22,EXTORSÃO,1.0,0.0,1.0,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,,6.0
23,INCENDIO,1.0,2.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,5.0
24,VIOLAÇÃO SEXUAL MEDIANTE A FRAUDE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,2.0
25,OMISSAO DE SOCORRO,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
26,SATISF. DE LASC. MED. PRES. DE CRIANÇA OU ADOLESC.,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0
27,TOTAL 2020,2.133,2.122,1.723,689,1.55,2.095,2.364,2.457,2.322,2.21,2.221,0.0,21.886
